"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3011","Create course","LMS system","Mon Dec 29 16:41:52 UTC 2025","passed","Mon Dec 29 16:41:55 UTC 2025","Courses","Courses","",""
"","0","test_critical_login","tests.pytest","Mon Dec 29 16:41:56 UTC 2025","passed","Mon Dec 29 16:41:56 UTC 2025","TestUserAuthentication","test_markers","",""
"","1834","User login with wrong email or password","LMS system","Mon Dec 29 16:41:45 UTC 2025","passed","Mon Dec 29 16:41:47 UTC 2025","Authorization","Authentication","",""
"","0","test_forgot_password_link","tests.pytest","Mon Dec 29 16:41:56 UTC 2025","passed","Mon Dec 29 16:41:56 UTC 2025","TestUserInterface","test_markers","",""
"","1681","Check displaying of empty courses list","LMS system","Mon Dec 29 16:41:50 UTC 2025","passed","Mon Dec 29 16:41:52 UTC 2025","Courses","Courses","",""
"","1934","User login with wrong email or password","LMS system","Mon Dec 29 16:41:43 UTC 2025","passed","Mon Dec 29 16:41:45 UTC 2025","Authorization","Authentication","",""
"","1955","User login with wrong email or password","LMS system","Mon Dec 29 16:41:43 UTC 2025","passed","Mon Dec 29 16:41:45 UTC 2025","Authorization","Authentication","",""
"","0","test_login","tests.pytest","Mon Dec 29 16:41:56 UTC 2025","passed","Mon Dec 29 16:41:56 UTC 2025","TestUserAuthentication","test_markers","",""
"","0","test_logout","tests.pytest","Mon Dec 29 16:41:56 UTC 2025","passed","Mon Dec 29 16:41:56 UTC 2025","TestUserAuthentication","test_markers","",""
"","0","test_case1","tests.pytest","Mon Dec 29 16:41:56 UTC 2025","passed","Mon Dec 29 16:41:56 UTC 2025","TestUserAuthentication > TestSuite","test_markers","",""
"","1","test_password_reset","tests.pytest","Mon Dec 29 16:41:56 UTC 2025","passed","Mon Dec 29 16:41:56 UTC 2025","TestUserAuthentication","test_markers","",""
"","0","test_case2","tests.pytest","Mon Dec 29 16:41:56 UTC 2025","passed","Mon Dec 29 16:41:56 UTC 2025","TestUserAuthentication > TestSuite","test_markers","",""
"","3905","Edit course","LMS system","Mon Dec 29 16:41:53 UTC 2025","passed","Mon Dec 29 16:41:57 UTC 2025","Courses","Courses","",""
"","1656","Navigation from login page to registration page","LMS system","Mon Dec 29 16:41:47 UTC 2025","passed","Mon Dec 29 16:41:49 UTC 2025","Authorization","Authentication","",""
"","2032","Registration with correct email, username and password","LMS system","Mon Dec 29 16:41:49 UTC 2025","passed","Mon Dec 29 16:41:51 UTC 2025","Registration","Authentication","",""
"","3118","User login with correct email and password","LMS system","Mon Dec 29 16:41:45 UTC 2025","passed","Mon Dec 29 16:41:48 UTC 2025","Authorization","Authentication","",""
"","1746","Check displaying of dashboard page","LMS system","Mon Dec 29 16:41:58 UTC 2025","passed","Mon Dec 29 16:42:00 UTC 2025","Dashboard","Dashboard","",""
